name,style_name,abv,att_0,att_1,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9
Palé,American Pale,7.1,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Passion Grass,American Pale,5.0,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Pinnacle Peak Pale Ale,American Pale,4.2,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Sidecar Orange Pale Ale,American Pale,5.6,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Snow Glare,American Pale,6.0,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Southern Hemisphere Harvest,American Pale,6.7,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Sumpin' Easy Ale,American Pale,5.7,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
The Carhartt Woodsman,American Pale,4.4,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
The Down Low Ale,American Pale,3.9,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Thunder Ann,American Pale,5.5,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Trademark Pale Ale,American Pale,5.7,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
Twin Peaks,American Pale,5.0,pale,hoppy,malted,american,ann,fresh,hopped,citrusy,malts,first,centennial,picked,chico,hop,new,harvest,wheat,cascade,bright,dale
16 So Fine Red Wheat Wine,Wheatwine,11.0,wheat,road,present,warming,super,week,amount,call,less,amarillo,oskar,blues,barleywine,sit,percent,heady,holland,bomb,goldings,nelson
Pilgrim's Dole,Wheatwine,12.0,wheat,road,present,warming,super,week,amount,call,less,amarillo,oskar,blues,barleywine,sit,percent,heady,holland,bomb,goldings,nelson
Yadig? Berliner Hopfenweissen,Wheatwine,4.3,wheat,road,present,warming,super,week,amount,call,less,amarillo,oskar,blues,barleywine,sit,percent,heady,holland,bomb,goldings,nelson
17th Saison,Saison,9.0,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
A Beer Named Sue,Saison,5.7,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Bobolink,Saison,6.7,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Brass & Blues,Saison,6.4,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Das Bij,Saison,5.6,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Eroica,Saison,7.4,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Four Witches ,Saison,7.3,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Golden Cap Saison Ale,Saison,6.25,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Monkey King,Saison,5.6,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Ovila Abbey Saison,Saison,7.5,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Ovila Abbey Saison (w/ Mandarin Oranges and Peppercorns),Saison,7.5,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Saison Dans La Maison ,Saison,5.6,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
