name,style_name,abv,att_0,att_1,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9
Oskar Blues IPA,American IPA,6.43,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Point Defiance IPA,American IPA,6.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
R. Prime,American IPA,6.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Ruthless Rye IPA,American IPA,6.6,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Ruthlessly Delicious,American IPA,6.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Rye IPA,American IPA,6.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Second Helping IPA,American IPA,7.4,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Sidcar Orange IPA,American IPA,6.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Single Hop Cascade IPA,American IPA,6.3,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Single Hop Series: Liberty,American IPA,5.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Six Rights IPA -  Beer Camp,American IPA,8.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Snow Wit,American IPA,5.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Spinner,American IPA,5.6,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Squeeze Box,American IPA,6.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Strawberry White Pale Ale,American IPA,5.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
SweetWater IPA,American IPA,6.3,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
T.L.A. I.P.A.,American IPA,5.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Tangerine Space Machine,American IPA,6.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Tasmanian Hatter,American IPA,7.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Taz IPA,American IPA,6.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Torpedo Extra IPA,American IPA,7.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
TripleTail,American IPA,5.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Tropical Torpedo,American IPA,6.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Wachusetts IPA,American IPA,5.6,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Wally,American IPA,7.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Whiplash,American IPA,6.3,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
White Lightning ,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Wicked Wheat IPA ,American IPA,5.6,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
20th Anniversary Imperial Hash IPA on Brett,Imperial IPA,9.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
471 IPA Barrel Series: Citra,Imperial IPA,11.3,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
471 IPA Barrel Series: Eureka!,Imperial IPA,11.2,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
471 IPA. Aggressive Hoppiness,Imperial IPA,9.2,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Alpha Dog Imperial IPA,Imperial IPA,8.5,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Audition - Double IPA,Imperial IPA,8.5,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Barrel Aged 471 IPA. Aggressive Hoppiness,Imperial IPA,9.2,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Beer Camp: West Coast DIPA,Imperial IPA,8.2,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Choice Make Good,Imperial IPA,8.3,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Dank Tank Ghoulash,Imperial IPA,8.5,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Devil Dog Imperial IPA,Imperial IPA,10.8,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Electric Ray,Imperial IPA,8.5,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Fresh Sticky Nugs,Imperial IPA,8.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
G'Knight,Imperial IPA,8.7,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Grand Royal,Imperial IPA,8.3,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Gubna,Imperial IPA,10.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Gubna Barrel Aged,Imperial IPA,11.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Gubna Imperial IPA,Imperial IPA,10.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Hop Hash,Imperial IPA,7.8,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Hop Stoopid,Imperial IPA,8.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Hoptimum,Imperial IPA,9.6,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Imperial Hatter,Imperial IPA,9.4,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Imperial Plum IPA,Imperial IPA,9.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Imperial White IPA - Brewery Lane Series,Imperial IPA,9.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Madonna,Imperial IPA,8.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Mozango (Fusion XXXI),Imperial IPA,9.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Oak Aged Mad Hatter India Pale Ale,Imperial IPA,7.22,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Rhizing Bines,Imperial IPA,8.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Sneaky Pete,Imperial IPA,10.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Sucks,Imperial IPA,8.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Super Cluster,Imperial IPA,8.0,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
The Waldos’ Special Ale (2018),Imperial IPA,11.3,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
Waldo's Special Ale,Imperial IPA,11.5,ipa,hop,imperial,wheat,simcoe,character,yet,centennial,strong,time,make,new,gordon,dry,double,aroma,citra,citrus,grapefruit,munich
21st Anniversary,Flanders Red,7.9,east,brown,region,next,punch,yeast,esters,funky,west,know,brettanomyces,name,give,old,fruity,cherries,lactobacillus,belgium,set,senses
Spinnerbait,Flanders Red,6.0,east,brown,region,next,punch,yeast,esters,funky,west,know,brettanomyces,name,give,old,fruity,cherries,lactobacillus,belgium,set,senses
"30th Anniversary - Charlie, Fred & Ken's Bock",Maibock,8.3,bock,latin,distinct,sweetness,home,traditional,floral,balanced,winter,way,take,golden,glissade,cigar,roots,spring,art,city,toward,slide
Beer Like A Billy Goat,Maibock,6.5,bock,latin,distinct,sweetness,home,traditional,floral,balanced,winter,way,take,golden,glissade,cigar,roots,spring,art,city,toward,slide
Dogs of Helles,Maibock,4.0,bock,latin,distinct,sweetness,home,traditional,floral,balanced,winter,way,take,golden,glissade,cigar,roots,spring,art,city,toward,slide
Glissade Golden Bock,Maibock,6.4,bock,latin,distinct,sweetness,home,traditional,floral,balanced,winter,way,take,golden,glissade,cigar,roots,spring,art,city,toward,slide
Yonder Bock - Beer Camp Across America,Maibock,7.7,bock,latin,distinct,sweetness,home,traditional,floral,balanced,winter,way,take,golden,glissade,cigar,roots,spring,art,city,toward,slide
30th Anniversary - Jack & Ken's Ale,American Barleywine,10.2,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Beer Camp: Dry-Hopped Barleywine-Style Ale,American Barleywine,9.4,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Bigfoot Barrel-Aged,American Barleywine,12.2,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Existential,American Barleywine,11.1,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Fusion 18,American Barleywine,10.0,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
GnarlyWine,American Barleywine,10.6,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Old Double Bagger Barleywine,American Barleywine,13.2,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Portsmouth Barleywine,American Barleywine,11.0,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Sweetwater Donkey Punch!,American Barleywine,10.2,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
Trip in the Woods: Barrel Aged Ginger Bigfoot,American Barleywine,11.4,barleywine,bigfoot,hoppy,new,age,classic,aged,resulting,big,th,honor,orange,avery,ginger,brew,years,version,beast,special,bittersweet
471 ESB - Extra Special Bitter,ESB,7.8,extra,esb,yeast,tradition,truly,kick,hop,kind,characteristics,centennial,earthy,finishes,british,amber,fuggles,exclusively,fuggle,say,warming,roots
Brown's Point ESB,ESB,5.6,extra,esb,yeast,tradition,truly,kick,hop,kind,characteristics,centennial,earthy,finishes,british,amber,fuggles,exclusively,fuggle,say,warming,roots
ESB,ESB,5.5,extra,esb,yeast,tradition,truly,kick,hop,kind,characteristics,centennial,earthy,finishes,british,amber,fuggles,exclusively,fuggle,say,warming,roots
7 Birds,American Pilsener,5.0,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
7 Cities Pilsner,American Pilsener,5.0,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
EXPERIMENTAL HOP PILSNER,American Pilsener,5.5,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Green State Lager,American Pilsener,4.9,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Imperial Pils,American Pilsener,8.6,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Imperial Pilsner - Beer Camp #43,American Pilsener,5.6,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Nooner Pilsner,American Pilsener,5.2,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Regal Pilsner,American Pilsener,7.0,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
SweetWater Road Trip,American Pilsener,5.2,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Torpedo Pilsner - Beer Camp Across America,American Pilsener,5.2,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Tropical Mama’s,American Pilsener,5.3,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
Two-One Niner,American Pilsener,4.8,pilsner,pils,labor,fruits,finish,time,beautiful,hoppy,german,golden,torpedo,spicy,hop,take,crisp,every,light,session,yet,brilliant
72 Imperial,Stout,7.2,chocolate,stout,cold,roasted,row,layers,lactose,sun,warmer,two,cream,ground,coffee,sit,ride,imperial,milk,dark,back,enjoy
Breakfast At Chicos,Stout,7.5,chocolate,stout,cold,roasted,row,layers,lactose,sun,warmer,two,cream,ground,coffee,sit,ride,imperial,milk,dark,back,enjoy
Coffee Stout,Stout,6.2,chocolate,stout,cold,roasted,row,layers,lactose,sun,warmer,two,cream,ground,coffee,sit,ride,imperial,milk,dark,back,enjoy
Ten FIDY (2016),Stout,10.5,chocolate,stout,cold,roasted,row,layers,lactose,sun,warmer,two,cream,ground,coffee,sit,ride,imperial,milk,dark,back,enjoy
Agave Wheat,Wheat Ale,5.9,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Crank Tank,Wheat Ale,5.8,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Fandom Ale Fusion XXXIX,Wheat Ale,5.5,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Grass Monkey,Wheat Ale,5.4,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Hopfenweisse,Wheat Ale,5.7,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Irish Wheat,Wheat Ale,5.3,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Ophelia,Wheat Ale,6.6,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Rye Hatter,Wheat Ale,6.12,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Summer Ale,Wheat Ale,4.7,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Summer Session,Wheat Ale,5.0,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Sun Dog Amber Wheat,Wheat Ale,5.3,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
SweetWater SchWheat,Wheat Ale,4.9,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Tequila Barrel-Aged Ophelia,Wheat Ale,6.6,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Unfiltered Wheat Beer,Wheat Ale,4.4,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Zoomer,Wheat Ale,4.7,wheat,citrus,summer,tequila,munich,clean,malts,fresh,creating,spicy,showcases,texture,light,american,unfiltered,refreshing,irish,subtle,agave,round
Ale Communication,Imperial Red,7.8,stash,el,chocolate,citrus,danko,concept,semi,lots,melon,took,sweet,straight,big,dark,simcoe,robust,intense,double,ipa,red
Imperial Red Ale - Beer Camp #65,Imperial Red,8.1,stash,el,chocolate,citrus,danko,concept,semi,lots,melon,took,sweet,straight,big,dark,simcoe,robust,intense,double,ipa,red
Maillard's Odyssey,Imperial Red,8.5,stash,el,chocolate,citrus,danko,concept,semi,lots,melon,took,sweet,straight,big,dark,simcoe,robust,intense,double,ipa,red
Wookie Down,Imperial Red,7.6,stash,el,chocolate,citrus,danko,concept,semi,lots,melon,took,sweet,straight,big,dark,simcoe,robust,intense,double,ipa,red
Year of the Dog - Release #1,Imperial Red,7.2,stash,el,chocolate,citrus,danko,concept,semi,lots,melon,took,sweet,straight,big,dark,simcoe,robust,intense,double,ipa,red
Alt Route - Beer Camp Across America,Altbier,6.6,brewers,take,new,matter,spirit,tribute,roots,cone,passion,styles,single,making,hop,us,lost,beers,road,difficult,highlighting,share
American Summer Hoppy Wit,Witbier,6.0,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
Bob White,Witbier,5.0,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
Ovila Abbey White,Witbier,5.3,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
Priscilla,Witbier,5.2,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
Stoopid Wit,Witbier,6.0,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
White Ale,Witbier,4.8,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
Witness,Witbier,6.0,wit,belgian,oskar,spice,white,tart,take,hoppy,spicy,perfect,others,goblet,peel,coriander,orange,ish,raw,wheat,spiced,blues
Antwerpen Stout,Sweet Stout,8.0,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Cappuccino Stout,Sweet Stout,8.9,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Double Latte - Beer Camp Across America,Sweet Stout,7.6,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Guinness Milk Stout,Sweet Stout,5.0,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Milk Stout,Sweet Stout,5.8,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Nitro Series: Chocolate Orange Stout,Sweet Stout,6.0,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Smidy,Sweet Stout,5.2,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Whole Lotta Lov,Sweet Stout,5.4,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Willettized Imperial Coffee Stout,Sweet Stout,12.6,stout,coffee,subtle,put,roasted,things,chocolate,guinness,bourbon,full,orange,ever,milk,lactose,lower,sugar,creamy,dark,roast,malts
Anubis Imperial Coffee Porter,Brown Porter,8.0,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Beer Camp: Campout Porter,Brown Porter,7.7,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Black Cat Porter,Brown Porter,5.2,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Blackstrap Fever,Brown Porter,6.1,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Dank Tank Pulled Porter,Brown Porter,7.7,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Death By Coconut,Brown Porter,6.5,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Mean Joe Bean,Brown Porter,8.5,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Nib Sip Chub,Brown Porter,7.0,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Nitro Vanilla Porter (NVP),Brown Porter,4.7,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Porter,Brown Porter,5.6,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Puget Brown Porter,Brown Porter,5.6,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Vanilla Porter,Brown Porter,5.4,porter,vanilla,ingredient,good,deep,black,kiss,imperial,new,rich,medium,would,coffee,chocolate,roasted,beans,guinea,bean,dark,real
Aunt Sally,Sour,5.7,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Blue Sunday,Sour,7.0,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Cherry Jane,Sour,5.5,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Dark Swan,Sour,8.7,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
De Achste Hond Peach Sour,Sour,7.0,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Hop And Sour,Sour,4.4,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Mungo Berry,Sour,4.8,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Strawberry Moon,Sour,4.3,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Tropical Lover,Sour,4.3,sour,tart,farm,hopped,lightly,organic,refreshing,finish,wine,dry,oak,red,lbs,dark,fermented,soured,might,cherry,berry,giving
Autumn Ale,Märzen,6.0,oktoberfest,malts,interpretation,looking,middle,treat,breckenridge,warming,yeast,specialty,perle,fall,munich,malty,goodness,level,winner,bavarian,nutty,hallertau
Octoberfest,Märzen,5.2,oktoberfest,malts,interpretation,looking,middle,treat,breckenridge,warming,yeast,specialty,perle,fall,munich,malty,goodness,level,winner,bavarian,nutty,hallertau
Avalanche Ale,Amber,4.4,hop,copper,amber,originally,three,fall,pale,featuring,original,days,bitterness,profile,red,caramel,subtle,malts,finish,easy,munich,though
